0.000000 	 -1.#IND00 	 -1.#IND00 	 -1.#IND00 	 -1.#IND00 	 -1.#IND00 	 -1.#IND00 
0.064000 	 0.999317 	 0.021325 	 0.000273 	 0.000002 	 0.000000 	 -0.000000 
0.065000 	 0.999296 	 0.021658 	 0.000282 	 0.000003 	 0.000000 	 -0.000000 
0.066000 	 0.999274 	 0.021990 	 0.000290 	 0.000003 	 0.000000 	 0.000000 
0.067000 	 0.999252 	 0.022323 	 0.000299 	 0.000003 	 0.000000 	 -0.000000 
0.068000 	 0.999230 	 0.022656 	 0.000308 	 0.000003 	 0.000000 	 -0.000000 
0.069000 	 0.999207 	 0.022989 	 0.000317 	 0.000003 	 0.000000 	 0.000000 
0.070000 	 0.999184 	 0.023322 	 0.000327 	 0.000003 	 0.000000 	 -0.000000 
0.071000 	 0.999160 	 0.023655 	 0.000336 	 0.000003 	 0.000000 	 -0.000000 
0.072000 	 0.999136 	 0.023988 	 0.000345 	 0.000004 	 0.000000 	 -0.000000 
0.073000 	 0.999112 	 0.024320 	 0.000355 	 0.000004 	 0.000000 	 0.000000 
0.074000 	 0.999088 	 0.024653 	 0.000365 	 0.000004 	 0.000000 	 -0.000000 
0.075000 	 0.999063 	 0.024986 	 0.000375 	 0.000004 	 0.000000 	 0.000000 
0.076000 	 0.999038 	 0.025319 	 0.000385 	 0.000004 	 0.000000 	 -0.000000 
0.077000 	 0.999012 	 0.025651 	 0.000395 	 0.000004 	 0.000000 	 -0.000000 
0.078000 	 0.998986 	 0.025984 	 0.000405 	 0.000005 	 0.000000 	 -0.000000 
0.079000 	 0.998960 	 0.026317 	 0.000416 	 0.000005 	 0.000000 	 -0.000000 
0.080000 	 0.998934 	 0.026650 	 0.000426 	 0.000005 	 0.000000 	 0.000000 
0.081000 	 0.998907 	 0.026982 	 0.000437 	 0.000005 	 0.000000 	 0.000000 
0.082000 	 0.998880 	 0.027315 	 0.000448 	 0.000005 	 0.000000 	 0.000000 
0.083000 	 0.998852 	 0.027648 	 0.000459 	 0.000005 	 0.000000 	 -0.000000 
0.084000 	 0.998824 	 0.027980 	 0.000470 	 0.000006 	 0.000000 	 0.000000 
0.085000 	 0.998796 	 0.028313 	 0.000481 	 0.000006 	 0.000000 	 0.000000 
0.086000 	 0.998768 	 0.028645 	 0.000493 	 0.000006 	 0.000000 	 0.000000 
0.087000 	 0.998739 	 0.028978 	 0.000504 	 0.000006 	 0.000000 	 -0.000000 
0.088000 	 0.998710 	 0.029311 	 0.000516 	 0.000006 	 0.000000 	 0.000000 
0.089000 	 0.998680 	 0.029643 	 0.000528 	 0.000007 	 0.000000 	 0.000000 
0.090000 	 0.998651 	 0.029976 	 0.000540 	 0.000007 	 0.000000 	 -0.000000 
0.091000 	 0.998620 	 0.030308 	 0.000552 	 0.000007 	 0.000000 	 0.000000 
0.092000 	 0.998590 	 0.030641 	 0.000564 	 0.000007 	 0.000000 	 -0.000000 
0.093000 	 0.998559 	 0.030973 	 0.000576 	 0.000008 	 0.000000 	 0.000000 
0.094000 	 0.998528 	 0.031306 	 0.000589 	 0.000008 	 0.000000 	 -0.000000 
0.095000 	 0.998497 	 0.031638 	 0.000601 	 0.000008 	 0.000000 	 0.000000 
0.096000 	 0.998465 	 0.031971 	 0.000614 	 0.000008 	 0.000000 	 0.000000 
0.097000 	 0.998433 	 0.032303 	 0.000627 	 0.000009 	 0.000000 	 0.000000 
0.098000 	 0.998400 	 0.032635 	 0.000640 	 0.000009 	 0.000000 	 0.000000 
0.099000 	 0.998367 	 0.032968 	 0.000653 	 0.000009 	 0.000000 	 -0.000000 
0.100000 	 0.998334 	 0.033300 	 0.000666 	 0.000010 	 0.000000 	 0.000000 
0.101000 	 0.998301 	 0.033632 	 0.000680 	 0.000010 	 0.000000 	 0.000000 
0.102000 	 0.998267 	 0.033965 	 0.000693 	 0.000010 	 0.000000 	 -0.000000 
0.103000 	 0.998233 	 0.034297 	 0.000707 	 0.000010 	 0.000000 	 0.000000 
0.104000 	 0.998198 	 0.034629 	 0.000721 	 0.000011 	 0.000000 	 -0.000000 
0.105000 	 0.998164 	 0.034961 	 0.000734 	 0.000011 	 0.000000 	 -0.000000 
0.106000 	 0.998128 	 0.035294 	 0.000748 	 0.000011 	 0.000000 	 0.000000 
0.107000 	 0.998093 	 0.035626 	 0.000763 	 0.000012 	 0.000000 	 -0.000000 
0.108000 	 0.998057 	 0.035958 	 0.000777 	 0.000012 	 0.000000 	 0.000000 
0.109000 	 0.998021 	 0.036290 	 0.000791 	 0.000012 	 0.000000 	 0.000000 
0.110000 	 0.997985 	 0.036622 	 0.000806 	 0.000013 	 0.000000 	 0.000000 
0.111000 	 0.997948 	 0.036954 	 0.000821 	 0.000013 	 0.000000 	 0.000000 
0.112000 	 0.997911 	 0.037287 	 0.000836 	 0.000013 	 0.000000 	 0.000000 
0.113000 	 0.997873 	 0.037619 	 0.000850 	 0.000014 	 0.000000 	 -0.000000 
0.114000 	 0.997835 	 0.037951 	 0.000866 	 0.000014 	 0.000000 	 0.000000 
0.115000 	 0.997797 	 0.038283 	 0.000881 	 0.000014 	 0.000000 	 0.000000 
0.116000 	 0.997759 	 0.038615 	 0.000896 	 0.000015 	 0.000000 	 0.000000 
0.117000 	 0.997720 	 0.038947 	 0.000912 	 0.000015 	 0.000000 	 0.000000 
0.118000 	 0.997681 	 0.039279 	 0.000927 	 0.000016 	 0.000000 	 0.000000 
0.119000 	 0.997642 	 0.039611 	 0.000943 	 0.000016 	 0.000000 	 0.000000 
0.120000 	 0.997602 	 0.039942 	 0.000959 	 0.000016 	 0.000000 	 0.000000 
0.121000 	 0.997562 	 0.040274 	 0.000975 	 0.000017 	 0.000000 	 0.000000 
0.122000 	 0.997521 	 0.040606 	 0.000991 	 0.000017 	 0.000000 	 0.000000 
0.123000 	 0.997480 	 0.040938 	 0.001008 	 0.000018 	 0.000000 	 -0.000000 
0.124000 	 0.997439 	 0.041270 	 0.001024 	 0.000018 	 0.000000 	 0.000000 
0.125000 	 0.997398 	 0.041602 	 0.001041 	 0.000019 	 0.000000 	 0.000000 
0.126000 	 0.997356 	 0.041933 	 0.001057 	 0.000019 	 0.000000 	 0.000000 
0.127000 	 0.997314 	 0.042265 	 0.001074 	 0.000019 	 0.000000 	 0.000000 
0.128000 	 0.997272 	 0.042597 	 0.001091 	 0.000020 	 0.000000 	 0.000000 
0.129000 	 0.997229 	 0.042928 	 0.001108 	 0.000020 	 0.000000 	 0.000000 
0.130000 	 0.997186 	 0.043260 	 0.001125 	 0.000021 	 0.000000 	 0.000000 
0.131000 	 0.997142 	 0.043592 	 0.001143 	 0.000021 	 0.000000 	 0.000000 
0.132000 	 0.997099 	 0.043923 	 0.001160 	 0.000022 	 0.000000 	 0.000000 
0.133000 	 0.997054 	 0.044255 	 0.001178 	 0.000022 	 0.000000 	 0.000000 
0.134000 	 0.997010 	 0.044587 	 0.001196 	 0.000023 	 0.000000 	 0.000000 
0.135000 	 0.996965 	 0.044918 	 0.001213 	 0.000023 	 0.000000 	 0.000000 
0.136000 	 0.996920 	 0.045250 	 0.001231 	 0.000024 	 0.000000 	 0.000000 
0.137000 	 0.996875 	 0.045581 	 0.001250 	 0.000024 	 0.000000 	 0.000000 
0.138000 	 0.996829 	 0.045912 	 0.001268 	 0.000025 	 0.000000 	 0.000000 
0.139000 	 0.996783 	 0.046244 	 0.001286 	 0.000026 	 0.000000 	 0.000000 
0.140000 	 0.996737 	 0.046575 	 0.001305 	 0.000026 	 0.000000 	 0.000000 
0.141000 	 0.996690 	 0.046907 	 0.001324 	 0.000027 	 0.000000 	 0.000000 
0.142000 	 0.996643 	 0.047238 	 0.001342 	 0.000027 	 0.000000 	 0.000000 
0.143000 	 0.996595 	 0.047569 	 0.001361 	 0.000028 	 0.000000 	 0.000000 
0.144000 	 0.996548 	 0.047901 	 0.001380 	 0.000028 	 0.000000 	 0.000000 
0.145000 	 0.996500 	 0.048232 	 0.001400 	 0.000029 	 0.000000 	 0.000000 
0.146000 	 0.996451 	 0.048563 	 0.001419 	 0.000030 	 0.000000 	 0.000000 
0.147000 	 0.996402 	 0.048894 	 0.001438 	 0.000030 	 0.000000 	 0.000000 
0.148000 	 0.996353 	 0.049225 	 0.001458 	 0.000031 	 0.000001 	 0.000000 
0.149000 	 0.996304 	 0.049556 	 0.001478 	 0.000031 	 0.000001 	 0.000000 
0.150000 	 0.996254 	 0.049888 	 0.001498 	 0.000032 	 0.000001 	 0.000000 
0.151000 	 0.996204 	 0.050219 	 0.001518 	 0.000033 	 0.000001 	 0.000000 
0.152000 	 0.996154 	 0.050550 	 0.001538 	 0.000033 	 0.000001 	 0.000000 
0.153000 	 0.996103 	 0.050881 	 0.001558 	 0.000034 	 0.000001 	 0.000000 
0.154000 	 0.996052 	 0.051212 	 0.001578 	 0.000035 	 0.000001 	 0.000000 
0.155000 	 0.996001 	 0.051543 	 0.001599 	 0.000035 	 0.000001 	 0.000000 
0.156000 	 0.995949 	 0.051874 	 0.001620 	 0.000036 	 0.000001 	 0.000000 
0.157000 	 0.995897 	 0.052204 	 0.001640 	 0.000037 	 0.000001 	 0.000000 
0.158000 	 0.995845 	 0.052535 	 0.001661 	 0.000038 	 0.000001 	 0.000000 
0.159000 	 0.995792 	 0.052866 	 0.001682 	 0.000038 	 0.000001 	 0.000000 
0.160000 	 0.995739 	 0.053197 	 0.001704 	 0.000039 	 0.000001 	 0.000000 
0.161000 	 0.995685 	 0.053528 	 0.001725 	 0.000040 	 0.000001 	 0.000000 
0.162000 	 0.995632 	 0.053858 	 0.001746 	 0.000040 	 0.000001 	 0.000000 
0.163000 	 0.995578 	 0.054189 	 0.001768 	 0.000041 	 0.000001 	 0.000000 
0.164000 	 0.995523 	 0.054520 	 0.001790 	 0.000042 	 0.000001 	 0.000000 
0.165000 	 0.995469 	 0.054850 	 0.001811 	 0.000043 	 0.000001 	 0.000000 
0.166000 	 0.995414 	 0.055181 	 0.001833 	 0.000043 	 0.000001 	 0.000000 
0.167000 	 0.995358 	 0.055512 	 0.001856 	 0.000044 	 0.000001 	 0.000000 
0.168000 	 0.995303 	 0.055842 	 0.001878 	 0.000045 	 0.000001 	 0.000000 
0.169000 	 0.995247 	 0.056173 	 0.001900 	 0.000046 	 0.000001 	 0.000000 
0.170000 	 0.995190 	 0.056503 	 0.001923 	 0.000047 	 0.000001 	 0.000000 
0.171000 	 0.995134 	 0.056834 	 0.001945 	 0.000048 	 0.000001 	 0.000000 
0.172000 	 0.995077 	 0.057164 	 0.001968 	 0.000048 	 0.000001 	 0.000000 
0.173000 	 0.995019 	 0.057494 	 0.001991 	 0.000049 	 0.000001 	 0.000000 
0.174000 	 0.994962 	 0.057825 	 0.002014 	 0.000050 	 0.000001 	 0.000000 
0.175000 	 0.994904 	 0.058155 	 0.002037 	 0.000051 	 0.000001 	 0.000000 
0.176000 	 0.994845 	 0.058485 	 0.002061 	 0.000052 	 0.000001 	 0.000000 
0.177000 	 0.994787 	 0.058815 	 0.002084 	 0.000053 	 0.000001 	 0.000000 
0.178000 	 0.994728 	 0.059146 	 0.002107 	 0.000054 	 0.000001 	 0.000000 
0.179000 	 0.994668 	 0.059476 	 0.002131 	 0.000055 	 0.000001 	 0.000000 
0.180000 	 0.994609 	 0.059806 	 0.002155 	 0.000055 	 0.000001 	 0.000000 
0.181000 	 0.994549 	 0.060136 	 0.002179 	 0.000056 	 0.000001 	 0.000000 
0.182000 	 0.994488 	 0.060466 	 0.002203 	 0.000057 	 0.000001 	 0.000000 
0.183000 	 0.994428 	 0.060796 	 0.002227 	 0.000058 	 0.000001 	 0.000000 
0.184000 	 0.994367 	 0.061126 	 0.002252 	 0.000059 	 0.000001 	 0.000000 
0.185000 	 0.994306 	 0.061456 	 0.002276 	 0.000060 	 0.000001 	 0.000000 
