0.841471	0.977061
0.891207	0.950920
0.932039	0.915277
0.963558	0.870489
0.985450	0.817003
0.997495	0.755354
0.999574	0.686158
0.991665	0.610106
0.973848	0.527958
0.946300	0.440535
0.909297	0.348710
0.863209	0.253401
0.808496	0.155560
0.745705	0.056165
0.675463	-0.043792
0.598472	-0.143310
0.515501	-0.241397
0.427380	-0.337072
0.334988	-0.429379
0.239249	-0.517396
0.141120	-0.600244
0.041581	-0.677093
-0.058374	-0.747178
-0.157746	-0.809797
-0.255541	-0.864324
-0.350783	-0.910216
-0.442520	-0.947013
-0.529836	-0.974348
-0.611858	-0.991947
-0.687766	-0.999636
-0.756802	-0.997336
-0.818277	-0.985071
-0.871576	-0.962964
-0.916166	-0.931235
-0.951602	-0.890201
-0.977530	-0.840273
-0.993691	-0.781949
-0.999923	-0.715813
-0.996165	-0.642524
-0.982453	-0.562815
-0.958924	-0.477482
-0.925815	-0.387379
-0.883455	-0.293405
-0.832267	-0.196500
-0.772764	-0.097631
-0.705540	0.002213
-0.631267	0.102035
-0.550686	0.200838
-0.464602	0.297634
-0.373877	0.391456
-0.279415	0.481366
-0.182163	0.566467
-0.083089	0.645909
0.016814	0.718896
0.116549	0.784701
0.215120	0.842665
0.311541	0.892209
0.404850	0.932839
0.494113	0.964148
0.578440	0.985823
0.656987	0.997649
0.728969	0.999507
0.793668	0.991377
0.850437	0.973342
0.898708	0.945582
0.938000	0.908374
0.967920	0.862090
0.988168	0.807192
0.998543	0.744229
0.998941	0.673830
0.989358	0.596698
0.969890	0.513604
0.940731	0.425378
0.902172	0.332902
0.854599	0.237100
0.798487	0.138929
0.734397	0.039370
0.662969	-0.060583
0.584917	-0.159930
0.501021	-0.257680
0.412118	-0.352855
0.319098	-0.444504
0.222890	-0.531712
0.124454	-0.613607
0.024775	-0.689371
-0.075151	-0.758247
-0.174327	-0.819547
-0.271761	-0.872659
-0.366479	-0.917051
-0.457536	-0.952280
-0.544021	-0.977994
-0.625071	-0.993937
-0.699875	-0.999948
-0.767686	-0.995969
-0.827826	-0.982037
-0.879696	-0.958294
-0.922775	-0.924976
-0.956635	-0.882416
-0.980936	-0.831039
-0.995436	-0.771358
-0.999990	-0.703970
-0.994553	-0.629549
-0.979178	-0.548837
-0.954019	-0.462641
-0.919329	-0.371823
-0.875452	-0.277290
-0.822829	-0.179986
-0.761984	-0.080884
-0.693525	0.019026
-0.618137	0.118747
-0.536573	0.217281
-0.449647	0.313643
-0.358229	0.406872
-0.263232	0.496036
-0.165604	0.580243
-0.066322	0.658653
